Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1772302676.979	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.2 ./1024/r500/m01_02 
2	:	1772302676.982	     0.016	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.3 ./1024/r500/m01_03 
3	:	1772302676.985	     0.015	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.4 ./1024/r500/m01_04 
4	:	1772302677.003	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.5 ./1024/r500/m01_05 
5	:	1772302677.006	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.6 ./1024/r500/m01_06 
6	:	1772302677.009	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.7 ./1024/r500/m01_07 
7	:	1772302677.016	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.8 ./1024/r500/m01_08 
8	:	1772302677.019	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.9 ./1024/r500/m01_09 
9	:	1772302677.022	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.3 ./1024/r500/m02_03 
10	:	1772302677.025	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.4 ./1024/r500/m02_04 
11	:	1772302677.028	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.5 ./1024/r500/m02_05 
12	:	1772302677.031	     0.007	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.6 ./1024/r500/m02_06 
13	:	1772302677.034	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.7 ./1024/r500/m02_07 
14	:	1772302677.037	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.8 ./1024/r500/m02_08 
15	:	1772302677.040	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.9 ./1024/r500/m02_09 
16	:	1772302677.044	     0.007	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.4 ./1024/r500/m03_04 
17	:	1772302677.047	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.5 ./1024/r500/m03_05 
18	:	1772302677.050	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.6 ./1024/r500/m03_06 
19	:	1772302677.054	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.7 ./1024/r500/m03_07 
20	:	1772302677.057	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.8 ./1024/r500/m03_08 
21	:	1772302677.060	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.9 ./1024/r500/m03_09 
22	:	1772302677.063	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.5 ./1024/r500/m04_05 
23	:	1772302677.066	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.6 ./1024/r500/m04_06 
24	:	1772302677.069	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.7 ./1024/r500/m04_07 
25	:	1772302677.072	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.8 ./1024/r500/m04_08 
26	:	1772302677.076	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.9 ./1024/r500/m04_09 
27	:	1772302677.079	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.6 ./1024/r500/m05_06 
28	:	1772302677.083	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.7 ./1024/r500/m05_07 
29	:	1772302677.086	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.8 ./1024/r500/m05_08 
30	:	1772302677.089	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.9 ./1024/r500/m05_09 
31	:	1772302677.092	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.7 ./1024/r500/m06_07 
32	:	1772302677.096	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.8 ./1024/r500/m06_08 
33	:	1772302677.099	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.9 ./1024/r500/m06_09 
34	:	1772302677.102	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.7 0.8 ./1024/r500/m07_08 
35	:	1772302677.105	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.7 0.9 ./1024/r500/m07_09 
36	:	1772302677.108	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/1024rs/1024_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/1024/1024_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.8 0.9 ./1024/r500/m08_09 
37	:	1772302677.112	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.2 ./512/r500/m01_02 
38	:	1772302677.115	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.3 ./512/r500/m01_03 
39	:	1772302677.118	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.4 ./512/r500/m01_04 
40	:	1772302677.121	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.5 ./512/r500/m01_05 
41	:	1772302677.124	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.6 ./512/r500/m01_06 
42	:	1772302677.128	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.1 0.7 ./512/r500/m01_07 
